year,iso,eq_tr,bond_tr,bill_rate,cpi,xrusd,eq_tr_usd,bond_tr_usd,bill_rate_usd,xrusd_return,cpi_return
1938,DEU,-0.027276359498500824,0.06661681830883026,0.03009999915957451,19.49352423666623,2.450980392156863,-0.015207827978631072,0.07985027759305896,0.04288039617147987,-0.012254901960784373,0.00799999934563
1939,DEU,0.1336694359779358,0.04571683332324028,0.02500000037252903,19.49352423666623,2.4937655860349124,0.11421922506654991,0.02777561314367527,0.007414216052412437,0.01745635910224418,0.0
1940,DEU,0.3376937210559845,0.07767151296138763,0.022199999541044235,20.112366285899107,2.5012506253126565,0.3336906475765149,0.07444656080289946,0.019141046923963456,0.0030015007503753975,0.031746032257670004
1941,DEU,0.0747654065489769,0.0690060630440712,0.021800000220537186,20.576497820385075,2.4893917963224896,0.0798853154277801,0.07409853587611748,0.02666759538280461,-0.004741159830268718,0.023076923316147722
1942,DEU,0.1425996869802475,0.06112852692604065,0.021299999207258224,21.195339868439003,2.4893917963224896,0.1425996869802475,0.06112852692604065,0.021299999207258224,0.0,0.030075188375392185
1943,DEU,0.04271024838089943,0.06454386562108994,0.021299999207258224,21.350050371401743,2.4893917963224896,0.04271024838089943,0.06454386562108994,0.021299999207258224,0.0,0.0072992697415110485
1944,DEU,0.03170304745435715,,0.021299999207258224,21.814181896394675,2.4893917963224896,0.03170304745435715,,0.021299999207258224,0.0,0.021739130209015058
1945,DEU,-0.13434875011444092,,,22.433023935057417,,,,,,0.028368794282632257
1946,DEU,-0.09704092890024185,,,24.44426054889492,17.5,,,,,0.08965517175303438
1947,DEU,0.08538708835840225,,,26.146076159445776,23.5,-0.1917330193075728,,,0.34285714285714286,0.06962025327568323
1948,DEU,-0.8841469287872314,,,30.168549425585496,20.5,-0.8671928208048751,,,-0.1276595744680851,0.15384615426076173
1949,DEU,1.3681889772415161,0.06458775699138641,,32.29096830178449,6.05,7.024441989000177,2.607280829474945,,-0.7048780487804878,0.07035203603123856
1950,DEU,-0.08310543745756149,0.03701186180114746,0.04309999942779541,30.282438498705474,4.199999999,0.3207647868339327,0.49379089652160313,0.5025607138192199,-0.30578512413223136,-0.06220097781855669
1951,DEU,1.1774762868881226,0.03591920807957649,0.06019999831914902,32.599972081874945,4.199999999,1.1774762868881226,0.03591920807957649,0.06019999831914902,0.0,0.07653061305708726
1952,DEU,0.21791709959506989,0.06294126808643341,0.051100000739097595,33.29523218101175,4.199999999,0.21791709959506989,0.06294126808643341,0.051100000739097595,0.0,0.021327015170155814
1953,DEU,0.25189876556396484,0.014948978088796139,0.03579999879002571,32.67722355966636,4.199999999,0.25189876556396484,0.014948978088796139,0.03579999879002571,0.0,-0.01856147504800519
1954,DEU,0.8926240801811218,0.07128824293613434,0.02889999933540821,32.75447503341013,4.199799999,0.8927142094292115,0.07133925909134153,0.028948996906701385,-0.00004761904763048598,0.0023640770337392913
1955,DEU,0.1104106679558754,0.1024467870593071,0.031300000846385956,33.29523218101175,4.215199999,0.10635384401144155,0.09841905871314527,0.027532203347619078,0.0036668412790293267,0.016509412745893064
1956,DEU,-0.04888329654932022,-0.056685127317905426,0.04699999839067459,34.14499517104503,4.198599999,-0.045122867529875155,-0.05295554438782091,0.05113952108334008,-0.003938128678102704,0.025522062300496685
1957,DEU,0.07799005508422852,-0.002312250202521682,0.03959999978542328,34.866004695302294,4.201699999,0.07719471767995012,-0.00304834083848049,0.03883298643366051,0.0007383413520550236,0.02111611147242681
1958,DEU,0.6110981702804565,0.12705065310001373,0.030799999833106995,35.59345312589381,4.177499999,0.6204311626754582,0.13357958806387948,0.03677136069532905,-0.005759573507332539,0.02086411784053734
1959,DEU,0.8196190595626831,0.09175792336463928,0.027049999684095383,35.94108316284035,4.169999999,0.8228917557137607,0.09372151675245677,0.02889721191418615,-0.0017953321368750727,0.009766684780961698
1960,DEU,0.37916263937950134,0.020545650273561478,0.0456399992108345,36.47540347333437,4.170999999,0.3788319842273291,0.020300973780989384,0.04538930633155802,0.00023980815353480628,0.014866561146005012
1961,DEU,-0.06964285671710968,0.09988727420568466,0.029319999739527702,37.30585284176381,3.996499999,-0.029020481753144423,0.14791187808330686,0.07426341022357397,-0.041836490060377984,0.022767379914976075
