year,iso,debt_share
1929,PRT,0.004229796499310119
1929,SWE,0.004901884708054292
1929,USA,0.16769184564215822
1930,AUS,0.025086604824721515
1930,BEL,0.015209065071537194
1930,CHE,0.00442247046963495
1930,DEU,0.052063720789888884
1930,DNK,0.0036147709358643134
1930,ESP,0.024026573647364338
1930,FIN,0.0007740869942143498
1930,FRA,0.18950284079525995
1930,GBR,0.37224226151081613
1930,ITA,0.08180603741785047
1930,JPN,0.035519466018712795
1930,NLD,0.019869281564057626
1930,NOR,0.00420483986799594
1930,PRT,0.004258765226270923
1930,SWE,0.004851984591047484
1930,USA,0.1625472302747631
1931,AUS,0.026187289215708072
1931,BEL,0.015426902195697936
1931,CHE,0.004324469750093722
1931,DEU,0.05274647779687748
1931,DNK,0.0033419245393140388
1931,ESP,0.021291517138600106
1931,FIN,0.0006502004032164929
1931,FRA,0.19598003898303692
1931,GBR,0.36308976707034024
1931,ITA,0.07278606399005451
1931,JPN,0.03708440196433511
1931,NLD,0.021815846863046686
1931,NOR,0.0029034100148967066
1931,PRT,0.0042257958735144666
1931,SWE,0.003573495849512177
1931,USA,0.1745723983517554
1932,AUS,0.025834811072173232
1932,BEL,0.019971156909925222
1932,CHE,0.005300618380427899
1932,DEU,0.06747634996895997
1932,DNK,0.0030517660793649504
1932,ESP,0.022776026796434087
1932,FIN,0.000693060043422619
1932,FRA,0.1404519476411754
1932,GBR,0.35213482256124373
1932,ITA,0.06866171840750146
1932,NLD,0.028748873572422524
1932,NOR,0.0033215264682540636
1932,PRT,0.004084392227657798
1932,SWE,0.005004801124111638
1932,USA,0.2524881287469253
1933,AUS,0.02392160200623194
1933,BEL,0.01733864596275508
1933,CHE,0.005321838151296917
1933,DEU,0.08019370338074801
1933,DNK,0.0023524881756555424
1933,ESP,0.029543283482282797
1933,FIN,0.0006406635592210552
1933,FRA,0.14940231267735982
1933,GBR,0.3338139454068165
1933,ITA,0.06944262157668828
1933,JPN,0.02522199832234376
1933,NLD,0.02963166120679964
1933,NOR,0.0039014385882829294
1933,PRT,0.0028334976198222997
1933,SWE,0.006084647305881143
1933,USA,0.22035565257781423
1934,AUS,0.023372391697949087
1934,BEL,0.01812645258667798
1934,CHE,0.005890628546034186
1934,DEU,0.07273748592644518
1934,DNK,0.0023840019563149298
1934,ESP,0.024799297503847375
1934,FIN,0.0005962124234368273
1934,FRA,0.16908179655715805
1934,GBR,0.32582907985314125
1934,ITA,0.07551212366563638
1934,JPN,0.02497474812233631
1934,NLD,0.03137764112188838
1934,NOR,0.0029967346355962957
1934,PRT,0.002661763856196429
1934,SWE,0.004749702516912087
1934,USA,0.2149099390304293
1935,AUS,0.02280011643318743
1935,BEL,0.015815038238138363
1935,CHE,0.005913022291734351
1935,DEU,0.07583707874052276
1935,DNK,0.002206044304143114
1935,ESP,0.026447772660797998
1935,FIN,0.0005339054608027093
1935,FRA,0.17599495562256043
1935,GBR,0.3107423769757297
1935,ITA,0.07230428871252091
1935,JPN,0.02555229582766583
1935,NLD,0.031472494895885605
1935,NOR,0.0029875207167776455
1935,PRT,0.0025090854128288456
1935,SWE,0.0049295374470523685
1935,USA,0.223954466259652
1936,AUS,0.02247975990352233
1936,BEL,0.014451951184159999
1936,CHE,0.00610742793860743
1936,DEU,0.07669334352975245
1936,DNK,0.002115439165692336
1936,ESP,0.02542349498084328
1936,FIN,0.000512678546322647
1936,FRA,0.15958283140449134
1936,GBR,0.30583379269041583
1936,ITA,0.06680777846392155
1936,JPN,0.02749686799013409
1936,NLD,0.029314499526425515
1936,NOR,0.0028613334472480582
