year,iso_domestic,iso_foreign
1963,GBR,AUS
1963,ITA,AUS
1963,JPN,AUS
1963,NLD,AUS
1963,NOR,AUS
1963,PRT,AUS
1963,SWE,AUS
1964,BEL,AUS
1964,CHE,AUS
1964,DEU,AUS
1964,DNK,AUS
1964,ESP,AUS
1964,FIN,AUS
1964,FRA,AUS
1964,GBR,AUS
1964,ITA,AUS
1964,JPN,AUS
1964,NLD,AUS
1964,NOR,AUS
1964,PRT,AUS
1964,SWE,AUS
1965,BEL,AUS
1965,CHE,AUS
1965,DEU,AUS
1965,DNK,AUS
1965,ESP,AUS
1965,FIN,AUS
1965,FRA,AUS
1965,GBR,AUS
1965,ITA,AUS
1965,JPN,AUS
1965,NLD,AUS
1965,NOR,AUS
1965,PRT,AUS
1965,SWE,AUS
1966,BEL,AUS
1966,CHE,AUS
1966,DEU,AUS
1966,DNK,AUS
1966,ESP,AUS
1966,FIN,AUS
1966,FRA,AUS
1966,GBR,AUS
1966,ITA,AUS
1966,JPN,AUS
1966,NLD,AUS
1966,NOR,AUS
1966,PRT,AUS
1966,SWE,AUS
1967,BEL,AUS
1967,CHE,AUS
1967,DEU,AUS
1967,DNK,AUS
1967,ESP,AUS
1967,FIN,AUS
1967,FRA,AUS
1967,GBR,AUS
1967,ITA,AUS
1967,JPN,AUS
1967,NLD,AUS
1967,NOR,AUS
1967,PRT,AUS
1967,SWE,AUS
1968,BEL,AUS
1968,CHE,AUS
1968,DEU,AUS
1968,DNK,AUS
1968,ESP,AUS
1968,FIN,AUS
1968,FRA,AUS
1968,GBR,AUS
1968,ITA,AUS
1968,JPN,AUS
1968,NLD,AUS
1968,NOR,AUS
1968,PRT,AUS
1968,SWE,AUS
1969,BEL,AUS
1969,CHE,AUS
1969,DEU,AUS
1969,DNK,AUS
1969,ESP,AUS
1969,FIN,AUS
1969,FRA,AUS
1969,GBR,AUS
1969,ITA,AUS
1969,JPN,AUS
1969,NLD,AUS
1969,NOR,AUS
1969,PRT,AUS
1969,SWE,AUS
1970,BEL,AUS
1970,CHE,AUS
1970,DEU,AUS
1970,DNK,AUS
1970,ESP,AUS
1970,FIN,AUS
1970,FRA,AUS
1970,GBR,AUS
1970,ITA,AUS
1970,JPN,AUS
1970,NLD,AUS
1970,NOR,AUS
1970,PRT,AUS
1970,SWE,AUS
1971,BEL,AUS
1971,CHE,AUS
1971,DEU,AUS
1971,DNK,AUS
1971,ESP,AUS
1971,FIN,AUS
1971,FRA,AUS
1971,GBR,AUS
1971,ITA,AUS
1971,JPN,AUS
1971,NLD,AUS
1971,NOR,AUS
1971,PRT,AUS
1971,SWE,AUS
1972,BEL,AUS
1972,CHE,AUS
1972,DEU,AUS
1972,DNK,AUS
1972,ESP,AUS
1972,FIN,AUS
1972,FRA,AUS
1972,GBR,AUS
1972,ITA,AUS
1972,JPN,AUS
1972,NLD,AUS
1972,NOR,AUS
1972,PRT,AUS
1972,SWE,AUS
1973,BEL,AUS
1973,CHE,AUS
1973,DEU,AUS
1973,DNK,AUS
1973,ESP,AUS
1973,FIN,AUS
1973,FRA,AUS
1973,GBR,AUS
1973,ITA,AUS
1973,JPN,AUS
1973,NLD,AUS
1973,NOR,AUS
1973,PRT,AUS
1973,SWE,AUS
1974,BEL,AUS
1974,CHE,AUS
1974,DEU,AUS
1974,DNK,AUS
1974,ESP,AUS
1974,FIN,AUS
1974,FRA,AUS
1974,GBR,AUS
1974,ITA,AUS
1974,JPN,AUS
1974,NLD,AUS
1974,NOR,AUS
1974,PRT,AUS
1974,SWE,AUS
1975,BEL,AUS
1975,CHE,AUS
1975,DEU,AUS
1975,DNK,AUS
1975,ESP,AUS
1975,FIN,AUS
1975,FRA,AUS
1975,GBR,AUS
1975,ITA,AUS
1975,JPN,AUS
1975,NLD,AUS
1975,NOR,AUS
1975,PRT,AUS
1975,SWE,AUS
1976,BEL,AUS
1976,CHE,AUS
1976,DEU,AUS
1976,DNK,AUS
1976,ESP,AUS
1976,FIN,AUS
1976,FRA,AUS
1976,GBR,AUS
1976,ITA,AUS
1976,JPN,AUS
1976,NLD,AUS
1976,NOR,AUS
1976,PRT,AUS
1976,SWE,AUS
1977,BEL,AUS
1977,CHE,AUS
1977,DEU,AUS
1977,DNK,AUS
1977,ESP,AUS
1977,FIN,AUS
1977,FRA,AUS
1977,GBR,AUS
1977,ITA,AUS
1977,JPN,AUS
1977,NLD,AUS
1977,NOR,AUS
1977,PRT,AUS
1977,SWE,AUS
1978,BEL,AUS
1978,CHE,AUS
1978,DEU,AUS
1978,DNK,AUS
1978,ESP,AUS
1978,FIN,AUS
1978,FRA,AUS
1978,GBR,AUS
1978,ITA,AUS
1978,JPN,AUS
1978,NLD,AUS
1978,NOR,AUS
1978,PRT,AUS
1978,SWE,AUS
1979,BEL,AUS
1979,CHE,AUS
1979,DEU,AUS
1979,DNK,AUS
1979,ESP,AUS
1979,FIN,AUS
1979,FRA,AUS
1979,GBR,AUS
1979,ITA,AUS
1979,JPN,AUS
1979,NLD,AUS
1979,NOR,AUS
1979,PRT,AUS
1979,SWE,AUS
1980,BEL,AUS
1980,CHE,AUS
1980,DEU,AUS
1980,DNK,AUS
1980,ESP,AUS
1980,FIN,AUS
1980,FRA,AUS
1980,GBR,AUS
1980,ITA,AUS
1980,JPN,AUS
1980,NLD,AUS
1980,NOR,AUS
1980,PRT,AUS
1980,SWE,AUS
1981,BEL,AUS
1981,CHE,AUS
1981,DEU,AUS
1981,DNK,AUS
1981,ESP,AUS
1981,FIN,AUS
1981,FRA,AUS
1981,GBR,AUS
1981,ITA,AUS
1981,JPN,AUS
1981,NLD,AUS
1981,NOR,AUS
1981,PRT,AUS
1981,SWE,AUS
1982,BEL,AUS
1982,CHE,AUS
1982,DEU,AUS
1982,DNK,AUS
1982,ESP,AUS
1982,FIN,AUS
1982,FRA,AUS
1982,GBR,AUS
1982,ITA,AUS
1982,JPN,AUS
1982,NLD,AUS
1982,NOR,AUS
1982,PRT,AUS
1982,SWE,AUS
1983,BEL,AUS
1983,CHE,AUS
1983,DEU,AUS
1983,DNK,AUS
1983,ESP,AUS
1983,FIN,AUS
1983,FRA,AUS
1983,GBR,AUS
1983,ITA,AUS
1983,JPN,AUS
1983,NLD,AUS
1983,NOR,AUS
1983,PRT,AUS
1983,SWE,AUS
1984,BEL,AUS
1984,CHE,AUS
1984,DEU,AUS
1984,DNK,AUS
1984,ESP,AUS
1984,FIN,AUS
